Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
272		0.2148		0.3986		0.0000		0.6258		0.00006295
273		0.2143		0.3971		0.0000		0.6277		0.00006105
274		0.2158		0.4010		0.0000		0.6311		0.00005916
275		0.2154		0.3974		0.0000		0.6273		0.00005725
276		0.2130		0.3870		0.0000		0.6304		0.00005534
277		0.2135		0.4033		0.0000		0.6156		0.00005342
278		0.2118		0.3965		0.0000		0.6303		0.00005149
279		0.2129		0.3914		0.0000		0.6344		0.00004956
280		0.2109		0.3926		0.0000		0.6360		0.00004761
281		0.2123		0.3966		0.0000		0.6333		0.00004566
282		0.2110		0.3936		0.0000		0.6346		0.00004370
283		0.2117		0.3971		0.0000		0.6261		0.00004173
284		0.2094		0.3956		0.0000		0.6304		0.00003975
285		0.2100		0.3988		0.0000		0.6319		0.00003775
286		0.2108		0.4003		0.0000		0.6311		0.00003575
287		0.2089		0.3944		0.0000		0.6291		0.00003373
288		0.2091		0.3975		0.0000		0.6291		0.00003170
289		0.2088		0.4038		0.0000		0.6283		0.00002966
290		0.2083		0.4014		0.0000		0.6312		0.00002759
291		0.2095		0.4011		0.0000		0.6282		0.00002552
292		0.2085		0.4005		0.0000		0.6282		0.00002342
293		0.2079		0.3974		0.0000		0.6305		0.00002130
294		0.2077		0.3982		0.0000		0.6357		0.00001916
295		0.2077		0.4012		0.0000		0.6279		0.00001699
296		0.2071		0.4008		0.0000		0.6319		0.00001479
297		0.2063		0.4021		0.0000		0.6323		0.00001255
298		0.2060		0.3987		0.0000		0.6334		0.00001027
299		0.2063		0.4004		0.0000		0.6360		0.00000792
300		0.2062		0.4038		0.0000		0.6331		0.00000550
